sigla,codigo,municipio,populacao
SC,4200051,Abdon Batista,2.653
SC,4200101,Abelardo Luz,17.100
SC,4200200,Agrolândia,9.323
SC,4200309,Agronômica,4.904
SC,4200408,Água Doce,6.961
SC,4200507,Águas de Chapecó,6.110
SC,4200556,Águas Frias,2.424
SC,4200606,Águas Mornas,5.548
SC,4200705,Alfredo Wagner,9.410
SC,4200754,Alto Bela Vista,2.005
SC,4200804,Anchieta,6.380
SC,4200903,Angelina,5.250
SC,4201000,Anita Garibaldi,8.623
SC,4201109,Anitápolis,3.214
SC,4201208,Antônio Carlos,7.458
SC,4201257,Apiúna,9.600
SC,4201273,Arabutã,4.193
SC,4201307,Araquari,24.810
SC,4201406,Araranguá,61.310
SC,4201505,Armazém,7.753
SC,4201604,Arroio Trinta,3.502
SC,4201653,Arvoredo,2.260
SC,4201703,Ascurra,7.412
SC,4201802,Atalanta,3.300
SC,4201901,Aurora,5.549
SC,4201950,Balneário Arroio do Silva,9.586
SC,4202008,Balneário Camboriú,108.089
SC,4202057,Balneário Barra do Sul,8.430
SC,4202073,Balneário Gaivota,8.234
SC,4202081,Bandeirante,2.906
SC,4202099,Barra Bonita,1.878
SC,4202107,Barra Velha,22.386
SC,4202131,Bela Vista do Toldo,6.004
SC,4202156,Belmonte,2.635
SC,4202206,Benedito Novo,10.336
SC,4202305,Biguaçu,58.206
SC,4202404,Blumenau,309.011
SC,4202438,Bocaina do Sul,3.290
SC,4202453,Bombinhas,14.293
SC,4202503,Bom Jardim da Serra,4.395
SC,4202537,Bom Jesus,2.526
SC,4202578,Bom Jesus do Oeste,2.132
SC,4202602,Bom Retiro,8.942
SC,4202701,Botuverá,4.468
SC,4202800,Braço do Norte,29.018
SC,4202859,Braço do Trombudo,3.457
SC,4202875,Brunópolis,2.850
SC,4202909,Brusque,105.503
SC,4203006,Caçador,70.762
SC,4203105,Caibi,6.219
SC,4203154,Calmon,3.387
SC,4203204,Camboriú,62.361
